NR_041599.1,Acanthopleuribacter pedis strain NBRC 101209 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Acanthopleuribacterales; Acanthopleuribacteraceae; Acanthopleuribacter; pedis; NBRC 101209
NR_040872.1,Actinokineospora enzanensis strain IFO 16517 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; enzanensis; IFO 16517
NR_118890.1,Actinokineospora fastidiosa strain ATCC 31181 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; fastidiosa; ATCC 31181
NR_117239.1,Actinokineospora fastidiosa strain NRRL B-16697 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; fastidiosa; NRRL B-16697
NR_024963.1,Actinokineospora globicatena strain NRRL B-24048 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; globicatena; NRRL B-24048
NR_145900.1,Actinokineospora guangxiensis strain Gk-6 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; guangxiensis; Gk-6
NR_041732.1,Actinokineospora inagensis strain NRRL B-24050 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; inagensis; NRRL B-24050
NR_134686.1,Actinokineospora mzabensis strain PAL84 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; mzabensis; PAL84
NR_119075.1,Actinokineospora riparia strain IFO 14541 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; riparia; IFO 14541
NR_041734.1,Actinokineospora riparia strain NRRL B-16432 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; riparia; NRRL B-16432
NR_118260.1,Actinokineospora soli strain YIM 75948 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; soli; YIM 75948
NR_118235.1,Actinokineospora soli strain YIM 75948 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; soli; YIM 75948
NR_134687.1,Actinokineospora spheciospongiae strain EG49 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; spheciospongiae; EG49
NR_024774.1,Actinokineospora terrae strain IFO 15668 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinokineospora; terrae; IFO 15668
NR_144570.1,Actinomadura adrarensis strain ACD12 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; adrarensis; ACD12
NR_044027.1,Actinomadura alba strain YIM 45681 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; alba; YIM 45681
NR_149171.1,Actinomadura algeriensis strain ACD1 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; algeriensis; ACD1
NR_149801.1,Actinomadura alkaliterrae strain D310A 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; alkaliterrae; D310A
NR_136827.1,Actinomadura amylolytica strain YIM 77502 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; amylolytica; YIM 77502
NR_113156.1,Actinomadura apis strain IM17-1 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; apis; IM17-1
NR_114850.1,Actinomadura atramentaria strain DSM 43919 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; atramentaria; DSM 43919
NR_026003.1,Actinomadura atramentaria strain SF2197 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; atramentaria; SF2197
NR_041618.1,Actinomadura bangladeshensis strain 3-46-b(3) 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; bangladeshensis; 3-46-b(3)
NR_028753.1,Actinomadura catellatispora strain 3.24 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; catellatispora; 3.24
NR_136828.2,Actinomadura cellulosilytica strain YIM 77510 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; cellulosilytica; YIM 77510
NR_041477.1,Actinomadura chibensis strain IFM 10266 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; chibensis; IFM 10266
NR_041619.1,Actinomadura chokoriensis strain 3-45-a(11) 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; chokoriensis; 3-45-a(11)
NR_042116.1,Actinomadura citrea strain DSM 43461 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; citrea; DSM 43461
NR_118828.1,Actinomadura citrea strain IFO 14678 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; citrea; IFO 14678
NR_026004.1,Actinomadura coerulea strain IFO 14679 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; coerulea; IFO 14679
NR_036898.1,Actinomadura cremea strain INA 292 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; cremea; INA 292
NR_112823.1,Actinomadura cremea strain NBRC 14182 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; cremea; NBRC 14182
NR_042114.1,Actinomadura echinospora strain DSM 43163 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; echinospora; DSM 43163
NR_118829.1,Actinomadura echinospora strain IFO 14042 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; echinospora; IFO 14042
NR_114529.1,Actinomadura fibrosa strain ATCC 49459 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; fibrosa; ATCC 49459
NR_042028.1,Actinomadura fibrosa strain IMSNU 22177 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; fibrosa; IMSNU 22177
NR_116546.1,Actinomadura flavalba DSM 45200 strain YIM 61435 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; flavalba; DSM 45200 | YIM 61435
NR_114851.1,Actinomadura formosensis strain DSM 43997 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; formosensis; DSM 43997
NR_112016.1,Actinomadura formosensis strain IFO 14204 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; formosensis; IFO 14204
NR_042029.1,Actinomadura formosensis strain IMSNU 22194 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; formosensis; IMSNU 22194
NR_114410.1,Actinomadura formosensis strain JCM 7474 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; formosensis; JCM 7474
NR_042115.1,Actinomadura fulvescens strain DSM 43923 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; fulvescens; DSM 43923
NR_118830.1,Actinomadura fulvescens strain IFO 14347 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; fulvescens; IFO 14347
NR_146660.1,Actinomadura gamaensis strain NEAU-Gz5 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; gamaensis; NEAU-Gz5
NR_109059.1,Actinomadura geliboluensis strain A8036 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; geliboluensis; A8036
NR_114525.2,Actinomadura glauciflava strain AS 4.1202 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; glauciflava; AS 4.1202
NR_112012.1,Actinomadura glauciflava strain IFO 14668 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; glauciflava; IFO 14668
NR_041164.1,Actinomadura glauciflava strain NBRC 14668 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; glauciflava; NBRC 14668
NR_043529.1,Actinomadura hallensis strain H647-1 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; hallensis; H647-1
NR_114849.1,Actinomadura hibisca strain DSM 44148 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; hibisca; DSM 44148
NR_042031.1,Actinomadura hibisca strain IMSNU 22185 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; hibisca; IMSNU 22185
NR_114530.1,Actinomadura hibisca strain JCM9627 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; hibisca; JCM9627
NR_146004.1,Actinomadura jiaoheensis strain NEAU-Jh1-3 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; jiaoheensis; NEAU-Jh1-3
NR_044544.1,Actinomadura keratinilytica strain WCC-2265 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; keratinilytica; WCC-2265
NR_026344.1,Actinomadura kijaniata strain DSM 43764 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; kijaniata; DSM 43764
NR_118831.1,Actinomadura kijaniata strain IFO 14229 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; kijaniata; IFO 14229
NR_029043.1,Actinomadura latina strain A10 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; latina; A10
NR_042032.1,Actinomadura livida strain IMSNU 22191 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; livida; IMSNU 22191
NR_114531.1,Actinomadura livida strain JCM3387 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; livida; JCM3387
NR_026006.1,Actinomadura luteofluorescens strain 04745 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; luteofluorescens; 4745
NR_026007.1,Actinomadura macra strain FD 25934 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; macra; FD 25934
NR_112735.1,Actinomadura macra strain NBRC 14102 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; macra; NBRC 14102
NR_026343.1,Actinomadura madurae strain DSM 43067 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; madurae; DSM 43067
NR_115626.1,Actinomadura madurae strain IFO 14623 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; madurae; IFO 14623
NR_118839.1,Actinomadura madurae strain JCM 7436 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; madurae; JCM 7436
NR_115568.1,Actinomadura madurae strain JCM7436 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; madurae; JCM7436
NR_112703.1,Actinomadura maheshkhaliensis strain 13-12-(50) 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; maheshkhaliensis; 13-12-(50)
NR_117023.1,Actinomadura meridiana strain DLS-45 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; meridiana; DLS-45
NR_025110.1,Actinomadura mexicana strain A290 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; mexicana; A290
NR_029090.1,Actinomadura meyerae strain A288 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; meyerae; A288
NR_044094.1,Actinomadura miaoliensis strain BC 44T-5 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; miaoliensis; BC 44T-5
NR_151939.1,Actinomadura montaniterrae 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; montaniterrae; u-st
NR_025515.1,Actinomadura namibiensis strain HAG 010767 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; namibiensis; HAG 10767
NR_042985.1,Actinomadura napierensis strain B60 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; napierensis; B60
NR_025652.1,Actinomadura nitritigenes strain L 46 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; nitritigenes; L 46
NR_112736.1,Actinomadura nitritigenes strain NBRC 15918 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; nitritigenes; NBRC 15918
NR_025021.1,Actinomadura oligospora strain ATCC 43269 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; oligospora; ATCC 43269
NR_114755.1,Actinomadura pelletieri strain IMSNU 22169 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; pelletieri; IMSNU 22169
NR_114533.1,Actinomadura pelletieri strain JCM3388 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; pelletieri; JCM3388
NR_134688.1,Actinomadura rayongensis strain RY35-68 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; rayongensis; RY35-68
NR_113155.1,Actinomadura rifamycini DSM 43936 strain JCM 3309 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; rifamycini; DSM 43936 | JCM 3309
NR_029187.1,Actinomadura rifamycini strain INA 1349 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; rifamycini; INA 1349
NR_044543.1,Actinomadura rubrobrunea strain DSM 43750 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; rubrobrunea; DSM 43750
NR_043687.1,Actinomadura rudentiformis strain HMC1 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; rudentiformis; HMC1
NR_026008.1,Actinomadura rugatobispora strain IFO 14382 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; rugatobispora; IFO 14382
NR_116908.1,Actinomadura rupiterrae strain CS5-AC15 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; rupiterrae; CS5-AC15
NR_116909.1,Actinomadura scrupuli strain R-Ac121 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; scrupuli; R-Ac121
NR_118114.2,Actinomadura sediminis strain YIM M 10931 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; sediminis; YIM M 10931
NR_146003.1,Actinomadura sporangiiformans strain NEAU-Jh2-5 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; sporangiiformans; NEAU-Jh2-5
NR_116929.1,Actinomadura sputi DSM 45233 strain IMMIB L-889 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; sputi; DSM 45233 | L-889
NR_135892.1,Actinomadura syzygii strain GKU 157 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; syzygii; GKU 157
NR_042035.1,Actinomadura umbrina strain IMSNU 22165 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; umbrina; IMSNU 22165
NR_114534.1,Actinomadura umbrina strain JCM6837 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; umbrina; JCM6837
NR_026009.1,Actinomadura verrucosospora strain A-184 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; verrucosospora; A-184
NR_115567.1,Actinomadura verrucosospora strain JCM 3147 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; verrucosospora; JCM 3147
NR_025002.1,Actinomadura vinacea strain JCM 3325 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; vinacea; JCM 3325
NR_112737.1,Actinomadura vinacea strain NBRC 14688 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; vinacea; NBRC 14688
NR_036858.1,Actinomadura viridilutea strain INMI 187 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; viridilutea; INMI 187
NR_042117.1,Actinomadura viridis strain DSM 43175 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; viridis; DSM 43175
NR_115625.1,Actinomadura viridis strain IFO 15238 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; viridis; IFO 15238
NR_108500.1,Actinomadura xylanilytica strain BK147 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; xylanilytica; BK147
NR_025023.1,Actinomadura yumaensis strain JCM3369 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinomadura; yumaensis; JCM3369
NR_118899.1,Actinomyces bovis strain DSM 43014 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; bovis; DSM 43014
NR_044862.1,Actinomyces bovis strain NCTC 11535 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; bovis; NCTC 11535
